case_id,activity,enable_time,start_time,end_time,resource
13,Cancel application,2025-06-24 09:59:10.000000+00:00,2025-06-24 09:59:10.000000+00:00,2025-06-24 10:19:10.000000+00:00,UnifiedResource_11
20,Check application form completeness,2025-06-24 10:00:00.000000+00:00,2025-06-24 10:00:00.000000+00:00,2025-06-24 10:25:00.000000+00:00,UnifiedResource_14
14,Design loan offer,2025-06-24 10:24:10.000000+00:00,2025-06-24 10:24:10.000000+00:00,2025-06-24 11:14:10.000000+00:00,UnifiedResource_3
15,Reject application,2025-06-24 10:24:10.000000+00:00,2025-06-24 10:24:10.000000+00:00,2025-06-24 10:57:30.000000+00:00,UnifiedResource_9
16,Design loan offer,2025-06-24 10:24:10.000000+00:00,2025-06-24 10:24:10.000000+00:00,2025-06-24 11:14:10.000000+00:00,UnifiedResource_2
17,Design loan offer,2025-06-24 10:24:10.000000+00:00,2025-06-24 10:24:10.000000+00:00,2025-06-24 11:14:10.000000+00:00,UnifiedResource_16
18,Reject application,2025-06-24 10:24:10.000000+00:00,2025-06-24 10:24:10.000000+00:00,2025-06-24 10:57:30.000000+00:00,UnifiedResource_1
19,Assess loan risk,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:54:10.000000+00:00,UnifiedResource_8
20,Appraise property,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:55:00.000000+00:00,UnifiedResource_5
20,Check credit history,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:51:40.000000+00:00,UnifiedResource_7
20,AML check,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:25:00.000000+00:00,2025-06-24 10:55:00.000000+00:00,UnifiedResource_4
21,Check application form completeness,2025-06-24 10:30:00.000000+00:00,2025-06-24 10:30:00.000000+00:00,2025-06-24 10:55:00.000000+00:00,UnifiedResource_11
19,Design loan offer,2025-06-24 10:54:10.000000+00:00,2025-06-24 10:54:10.000000+00:00,2025-06-24 11:44:10.000000+00:00,UnifiedResource_12
20,Assess loan risk,2025-06-24 10:55:00.000000+00:00,2025-06-24 10:55:00.000000+00:00,2025-06-24 11:24:10.000000+00:00,UnifiedResource_13
21,Appraise property,2025-06-24 10:55:00.000000+00:00,2025-06-24 10:55:00.000000+00:00,2025-06-24 11:25:00.000000+00:00,UnifiedResource_0
21,Check credit history,2025-06-24 10:55:00.000000+00:00,2025-06-24 10:55:00.000000+00:00,2025-06-24 11:21:40.000000+00:00,UnifiedResource_10
21,AML check,2025-06-24 10:55:00.000000+00:00,2025-06-24 10:55:00.000000+00:00,2025-06-24 11:25:00.000000+00:00,UnifiedResource_15
22,Check application form completeness,2025-06-24 11:00:00.000000+00:00,2025-06-24 11:00:00.000000+00:00,2025-06-24 11:25:00.000000+00:00,UnifiedResource_6
14,Approve loan offer,2025-06-24 11:14:10.000000+00:00,2025-06-24 11:14:10.000000+00:00,2025-06-24 11:29:10.000000+00:00,UnifiedResource_17
16,Approve loan offer,2025-06-24 11:14:10.000000+00:00,2025-06-24 11:14:10.000000+00:00,2025-06-24 11:29:10.000000+00:00,UnifiedResource_18
17,Approve loan offer,2025-06-24 11:14:10.000000+00:00,2025-06-24 11:14:10.000000+00:00,2025-06-24 11:29:10.000000+00:00,UnifiedResource_14
20,Design loan offer,2025-06-24 11:24:10.000000+00:00,2025-06-24 11:24:10.000000+00:00,2025-06-24 12:14:10.000000+00:00,UnifiedResource_7
21,Assess loan risk,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:54:10.000000+00:00,UnifiedResource_8
